district,fmt,alert_num,source,time_posted,author_text,site,screen_name,profile_url,locations,geodata,rmap_match,content,link
hobbs_nm,old,235278792,twitter,"Thu, Dec 14, 2017 3:54 AM",d.,www.twitter.com,OhDamn_Desi,www.twitter.com/OhDamn_Desi,Hobbs Hometown Match,"32.702610, -103.136040",Local+,I’ve see like 7 shooting stars tonight,https://live.socialsentinel.com/v/pdf/DwsAAA/2bzpwf
hobbs_nm,old,235397045,twitter,"Thu, Dec 14, 2017 12:28 PM",The Virgin Ramy,www.twitter.com,Ramy529,www.twitter.com/Ramy529,Hobbs Hometown Match,"32.702610, -103.136040",Local+,Catch me dropping out and selling drugs just to pay for twitter #NetNeutrality,https://live.socialsentinel.com/v/pdf/EQsAAA/2c2958
hobbs_nm,old,235401681,twitter,"Thu, Dec 14, 2017 12:25 PM",The Virgin Ramy,www.twitter.com,Ramy529,www.twitter.com/Ramy529,Hobbs Hometown Match,"32.702610, -103.136040",Local+,Catch me dropping out and selling drugs just to pay for twitter #NetNuetrality,https://live.socialsentinel.com/v/pdf/EQsAAA/2c2cq0
hobbs_nm,old,235564338,twitter,"Fri, Dec 15, 2017 12:06 AM",Friendzone King,www.twitter.com,RicardoNino2,www.twitter.com/RicardoNino2,Hobbs Hometown Match,"32.702610, -103.136040",Local+,G Eazy fucking murdered his album. Don’t @ me. I don’t wanna hear it,https://live.socialsentinel.com/v/pdf/EQsAAA/2c5u89
hobbs_nm,old,235619395,twitter,"Fri, Dec 15, 2017 7:39 AM",BurBur,www.twitter.com,HisFaceMyThrone,www.twitter.com/HisFaceMyThrone,Hobbs Hometown Match,"32.702610, -103.136040",Local+,@RogerThat_92 Hell no. I'm done forever,https://live.socialsentinel.com/v/pdf/EQsAAA/2c70pm
hobbs_nm,old,235629358,twitter,"Fri, Dec 15, 2017 8:11 AM",Bigg Regg,www.twitter.com,ReginaldDerrett,www.twitter.com/ReginaldDerrett,Hobbs Hometown Match,"32.702610, -103.136040",Local+,"Tupac Murder Weapon Was Found, Current Location a Mystery via @TMZ
https://t.co/cfhpHwQ47m https://t.co/GpSJEqiEW8",https://live.socialsentinel.com/v/pdf/-woAAA/2c78ed
hobbs_nm,old,235650987,twitter,"Fri, Dec 15, 2017 9:00 AM",zaira:),www.twitter.com,zairaa_m,www.twitter.com/zairaa_m,Hobbs Hometown Match,"32.702610, -103.136040",GeoFence,my grades cannot afford me missing another school day,https://live.socialsentinel.com/v/pdf/-woAAA/2c7p35
hobbs_nm,old,235676476,twitter,"Fri, Dec 15, 2017 11:19 AM",AnnaMarie,www.twitter.com,_AnnaMarie_11,www.twitter.com/_AnnaMarie_11,Hobbs Hometown Match,"32.702610, -103.136040",Local+,I literally thought I was going to die yesterday from how awful I felt,https://live.socialsentinel.com/v/pdf/-woAAA/2c88r7
hobbs_nm,old,236104328,twitter,"Sat, Dec 16, 2017 10:50 PM",dianeth,www.twitter.com,dianethhh,www.twitter.com/dianethhh,Hobbs Hometown Match,"32.702610, -103.136040",Local+,the chocolate cakes at rosas are soooo bomb,https://live.socialsentinel.com/v/pdf/-woAAA/2chevz
hobbs_nm,old,236693140,twitter,"Tue, Dec 19, 2017 1:23 AM",BuzzTeller,www.twitter.com,BuzzzTeller,www.twitter.com/BuzzzTeller,HOBBS HIGH,"10.000000, 8.000000",Local+,"Student in Hobbs High School shooting hoax may face charges CLICK BELOW FOR
FULL STORY... https://t.co/MlZ66VIGhn",https://live.socialsentinel.com/v/pdf/EQsAAA/2cu17v
hobbs_nm,old,236719863,twitter,"Tue, Dec 19, 2017 6:02 AM",KRQE.com Headlines,www.twitter.com,krqe_headlines,www.twitter.com/krqe_headlines,HOBBS HIGH,"35.084492, -106.651138",Local+,"Student in Hobbs High School shooting hoax may face charges
https://t.co/hJuCNaeGbR",https://live.socialsentinel.com/v/pdf/EQsAAA/2culu6
